time,inlet,layer,DO_mgL
2017-01-27,elliott (ELB015),bottom,6.530276775360108
2017-01-28,elliott (ELB015),bottom,6.5438127517700195
2017-01-29,elliott (ELB015),bottom,6.675899028778076
2017-01-30,elliott (ELB015),bottom,6.7393975257873535
2017-01-31,elliott (ELB015),bottom,6.834348678588867
2017-02-01,elliott (ELB015),bottom,6.859013557434082
2017-02-02,elliott (ELB015),bottom,6.910323143005371
2017-02-03,elliott (ELB015),bottom,6.965961933135987
2017-02-04,elliott (ELB015),bottom,7.037600040435791
2017-02-05,elliott (ELB015),bottom,7.013529300689697
2017-02-06,elliott (ELB015),bottom,7.065617561340332
2017-02-07,elliott (ELB015),bottom,6.975759983062744
2017-02-08,elliott (ELB015),bottom,7.003549098968506
2017-02-09,elliott (ELB015),bottom,7.036398410797119
2017-02-10,elliott (ELB015),bottom,7.099418640136718
2017-02-11,elliott (ELB015),bottom,7.197645664215088
2017-02-12,elliott (ELB015),bottom,7.119056224822999
2017-02-13,elliott (ELB015),bottom,7.1415791511535645
2017-02-14,elliott (ELB015),bottom,7.219289779663087
2017-02-15,elliott (ELB015),bottom,7.166117668151856
2017-02-16,elliott (ELB015),bottom,7.20322322845459
2017-02-17,elliott (ELB015),bottom,7.2224931716918945
2017-02-18,elliott (ELB015),bottom,7.185685634613036
2017-02-19,elliott (ELB015),bottom,7.270086288452148
2017-02-20,elliott (ELB015),bottom,7.25132417678833
2017-02-21,elliott (ELB015),bottom,7.267093658447266
2017-02-22,elliott (ELB015),bottom,7.219081401824951
2017-02-23,elliott (ELB015),bottom,7.27629804611206
2017-02-24,elliott (ELB015),bottom,7.305479526519776
2017-02-25,elliott (ELB015),bottom,7.277543544769286
2017-02-26,elliott (ELB015),bottom,7.2132568359375
2017-02-27,elliott (ELB015),bottom,7.249279975891112
2017-02-28,elliott (ELB015),bottom,7.294346809387207
2017-03-01,elliott (ELB015),bottom,7.449071884155273
2017-03-02,elliott (ELB015),bottom,7.4044246673583975
2017-03-03,elliott (ELB015),bottom,7.479300498962402
2017-03-04,elliott (ELB015),bottom,7.434108734130859
2017-03-05,elliott (ELB015),bottom,7.48850154876709
2017-03-06,elliott (ELB015),bottom,7.527448654174805
2017-03-07,elliott (ELB015),bottom,7.5729103088378915
2017-03-08,elliott (ELB015),bottom,7.5378618240356445
2017-03-09,elliott (ELB015),bottom,7.534429073333739
2017-03-10,elliott (ELB015),bottom,7.499091625213623
2017-03-11,elliott (ELB015),bottom,7.49105453491211
2017-03-12,elliott (ELB015),bottom,7.452581405639648
2017-03-13,elliott (ELB015),bottom,7.537985324859619
2017-03-14,elliott (ELB015),bottom,7.587771415710448
2017-03-15,elliott (ELB015),bottom,7.5544867515563965
2017-03-16,elliott (ELB015),bottom,7.57014560699463
2017-03-17,elliott (ELB015),bottom,7.565438747406006
2017-03-18,elliott (ELB015),bottom,7.5854644775390625
2017-03-19,elliott (ELB015),bottom,7.604327201843261
2017-03-20,elliott (ELB015),bottom,7.567622661590575
2017-03-21,elliott (ELB015),bottom,7.695018768310547
2017-03-22,elliott (ELB015),bottom,7.628589153289795
2017-03-23,elliott (ELB015),bottom,7.622321128845216
2017-03-24,elliott (ELB015),bottom,7.61978006362915
2017-03-25,elliott (ELB015),bottom,7.57392406463623
2017-03-26,elliott (ELB015),bottom,7.510579109191894
2017-03-27,elliott (ELB015),bottom,7.448893070220947
2017-03-28,elliott (ELB015),bottom,7.537054061889648
2017-03-29,elliott (ELB015),bottom,7.5801005363464355
2017-03-30,elliott (ELB015),bottom,7.634181976318359
2017-03-31,elliott (ELB015),bottom,7.762376308441163
2017-04-01,elliott (ELB015),bottom,7.7187232971191415
2017-04-02,elliott (ELB015),bottom,7.711068153381348
2017-04-03,elliott (ELB015),bottom,7.734321594238282
2017-04-04,elliott (ELB015),bottom,7.677589893341064
2017-04-05,elliott (ELB015),bottom,7.6742143630981445
2017-04-06,elliott (ELB015),bottom,7.678701877593994
2017-04-07,elliott (ELB015),bottom,7.815949440002441
2017-04-08,elliott (ELB015),bottom,7.784686088562012
2017-04-09,elliott (ELB015),bottom,7.773583412170409
2017-04-10,elliott (ELB015),bottom,7.850183963775635
2017-04-11,elliott (ELB015),bottom,7.702120304107666
2017-04-12,elliott (ELB015),bottom,7.675874710083008
2017-04-13,elliott (ELB015),bottom,7.813665866851807
2017-04-14,elliott (ELB015),bottom,7.7859601974487305
2017-04-15,elliott (ELB015),bottom,7.658525466918945
2017-04-16,elliott (ELB015),bottom,7.7315993309021
2017-04-17,elliott (ELB015),bottom,7.758926868438722
2017-04-18,elliott (ELB015),bottom,7.719380855560304
2017-04-19,elliott (ELB015),bottom,7.670214176177979
2017-04-20,elliott (ELB015),bottom,7.485407829284669
2017-04-21,elliott (ELB015),bottom,7.552742004394531
2017-04-22,elliott (ELB015),bottom,7.575465202331543
2017-04-23,elliott (ELB015),bottom,7.396164417266846
2017-04-24,elliott (ELB015),bottom,7.324220657348633
2017-04-25,elliott (ELB015),bottom,7.359845161437987
2017-04-26,elliott (ELB015),bottom,7.306642055511475
2017-04-27,elliott (ELB015),bottom,7.3396053314208975
2017-04-28,elliott (ELB015),bottom,7.358244419097901
2017-04-29,elliott (ELB015),bottom,7.412607192993164
2017-04-30,elliott (ELB015),bottom,7.373892307281495
2017-05-01,elliott (ELB015),bottom,7.420808792114259
2017-05-02,elliott (ELB015),bottom,7.449779033660889
2017-05-03,elliott (ELB015),bottom,7.318747043609619
2017-05-04,elliott (ELB015),bottom,7.505091667175293
2017-05-05,elliott (ELB015),bottom,7.3703880310058585
2017-05-06,elliott (ELB015),bottom,7.330201625823975
2017-05-07,elliott (ELB015),bottom,7.473776817321777
2017-05-08,elliott (ELB015),bottom,7.3655686378479
2017-05-09,elliott (ELB015),bottom,7.4626312255859375
2017-05-10,elliott (ELB015),bottom,7.377811908721924
2017-05-11,elliott (ELB015),bottom,7.151942729949951
2017-05-12,elliott (ELB015),bottom,7.218467712402344
2017-05-13,elliott (ELB015),bottom,7.055377960205077
2017-05-14,elliott (ELB015),bottom,7.132893085479736
2017-05-15,elliott (ELB015),bottom,7.117843151092529
2017-05-16,elliott (ELB015),bottom,7.112027645111084
2017-05-17,elliott (ELB015),bottom,7.119685649871825
2017-05-18,elliott (ELB015),bottom,6.903134346008301
2017-05-19,elliott (ELB015),bottom,7.204537868499757
2017-05-20,elliott (ELB015),bottom,7.261469841003418
2017-05-21,elliott (ELB015),bottom,7.097139835357666
2017-05-22,elliott (ELB015),bottom,6.942336082458497
2017-05-23,elliott (ELB015),bottom,6.913719177246094
